year,avg_temp
1796,25.25
1797,26.77
1798,24.46
1799,25.51
1800,25.44
1801,24.38
1802,25.87
1803,25.62
1804,25.93
1805,25.54
1806,25.45
1807,25.09
1808,
1809,
1810,
1811,
1812,
1813,24.79
1814,23.95
1815,24.32
1816,23.91
1817,24.09
1818,24.62
1819,24.17
1820,24.37
1821,25.04
1822,25.13
1823,24.88
1824,25.54
1825,25.34
1826,25.35
1827,25.57
1828,25.13
1829,24.94
1830,25.28
1831,24.68
1832,24.84
1833,25.07
1834,25.07
1835,24.17
1836,24.76
1837,24.64
1838,24.63
1839,24.74
1840,24.92
1841,24.69
1842,25.00
1843,24.93
1844,24.60
1845,24.84
1846,25.42
1847,24.89
1848,24.74
1849,24.75
1850,24.99
1851,24.99
1852,24.92
1853,25.12
1854,25.25
1855,25.41
1856,24.06
1857,24.52
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,24.25
1870,25.11
1871,25.10
1872,25.14
1873,25.26
1874,24.46
1875,25.56
1876,25.16
1877,25.38
1878,25.72
1879,25.04
1880,25.50
1881,25.27
1882,25.07
1883,24.80
1884,24.70
1885,24.53
1886,25.24
1887,25.05
1888,24.99
1889,25.31
1890,25.41
1891,25.06
1892,25.65
1893,24.05
1894,24.85
1895,25.47
1896,25.93
1897,25.46
1898,25.84
1899,26.31
1900,25.82
1901,25.89
1902,26.10
1903,25.24
1904,25.38
1905,25.44
1906,25.45
1907,25.33
1908,25.08
1909,24.75
1910,24.87
1911,25.77
1912,25.60
1913,25.34
1914,25.54
1915,26.32
1916,25.20
1917,24.00
1918,25.51
1919,25.10
1920,25.12
1921,26.35
1922,25.45
1923,25.45
1924,25.12
1925,25.27
1926,25.05
1927,24.80
1928,25.75
1929,25.50
1930,25.36
1931,25.70
1932,25.84
1933,24.74
1934,25.11
1935,24.86
1936,25.16
1937,25.15
1938,25.69
1939,25.68
1940,25.39
1941,26.50
1942,25.50
1943,25.41
1944,25.19
1945,24.80
1946,25.76
1947,25.88
1948,25.78
1949,26.01
1950,24.79
1951,25.87
1952,26.05
1953,26.30
1954,25.89
1955,25.39
1956,25.27
1957,25.16
1958,26.18
1959,25.58
1960,25.69
1961,25.01
1962,25.36
1963,25.99
1964,25.43
1965,25.72
1966,25.78
1967,25.11
1968,25.35
1969,26.16
1970,25.60
1971,25.09
1972,25.57
1973,25.65
1974,25.75
1975,25.08
1976,25.58
1977,25.60
1978,25.48
1979,25.90
1980,26.31
1981,26.08
1982,25.46
1983,24.99
1984,25.62
1985,26.09
1986,25.60
1987,26.73
1988,26.50
1989,25.76
1990,25.77
1991,25.99
1992,25.73
1993,26.32
1994,25.92
1995,26.13
1996,25.79
1997,24.83
1998,26.27
1999,26.42
2000,26.43
2001,26.02
2002,27.03
2003,26.03
2004,26.64
2005,25.77
2006,26.43
2007,26.27
2008,25.88
2009,26.92
2010,26.82
2011,25.92
2012,25.88
2013,26.84
